group_prob Network.target (#0 - General-0-20190613-13:39:21-5769),
7.455,0.104910714285709999
7.455,0.26339285714285998
7.455,0.21651785714285998
7.455,0.319196428571429934
7.455,0.095982142857142987
19.71,0.037599999999999994
19.71,0.094399999999999983
19.71,0.077600000000000002
19.71,0.114400000000000001
19.71,0.0344
19.71,0.301599999999999976
19.71,0.254399999999999958
19.71,0.085599999999999981
