score_vector Network.target (#0 - General-0-20190613-13:44:07-5979),
34,0.034970238095237998
34,0.087797619047618985
34,0.072172619047618985
34,0.106398809523810005
34,0.031994047619047991
34,0.016369047619047997
34,0.017113095238094996
34,0.016369047619047997
34,0.017113095238094996
34,0.017857142857142994
34,0.015625
34,0.017113095238094996
34,0.016369047619047997
34,0.017113095238094996
34,0.016369047619047997
34,0.017113095238094996
34,0.016369047619047997
34,0.016369047619047997
34,0.016369047619047997
34,0.017113095238094996
34,0.016369047619047997
34,0.017113095238094996
34,0.017857142857142994
34,0.017113095238094996
34,0.016369047619047997
34,0.016369047619047997
34,0.017113095238094996
34,0.015625
34,0.017113095238094996
34,0.016369047619047997
34,0.017857142857142994
34,0.017113095238094996
34,0.015625
34,0.017113095238094996
34,0.015625
34,0.016369047619047997
34,0.016369047619047997
34,0.017857142857142994
34,0.016369047619047997
34,0.017113095238094996
34,0.016369047619047997
34,0.016369047619047997
34,0.017113095238094996
34,0.015625
