group_prob Network.target (#0 - General-0-20190613-13:44:07-5979),
7.455,0.104910714285709999
7.455,0.26339285714285998
7.455,0.21651785714285998
7.455,0.319196428571429934
7.455,0.095982142857142987
21.495,0.034970238095237998
21.495,0.087797619047618985
21.495,0.072172619047618985
21.495,0.106398809523810005
21.495,0.031994047619047991
21.495,0.016369047619047997
21.495,0.017113095238094996
21.495,0.016369047619047997
21.495,0.017113095238094996
21.495,0.017857142857142994
21.495,0.015625
21.495,0.017113095238094996
21.495,0.016369047619047997
21.495,0.017113095238094996
21.495,0.016369047619047997
21.495,0.017113095238094996
21.495,0.016369047619047997
21.495,0.016369047619047997
21.495,0.016369047619047997
21.495,0.017113095238094996
21.495,0.016369047619047997
21.495,0.017113095238094996
21.495,0.017857142857142994
21.495,0.017113095238094996
21.495,0.016369047619047997
21.495,0.016369047619047997
21.495,0.017113095238094996
21.495,0.015625
21.495,0.017113095238094996
21.495,0.016369047619047997
21.495,0.017857142857142994
21.495,0.017113095238094996
21.495,0.015625
21.495,0.017113095238094996
21.495,0.015625
21.495,0.016369047619047997
21.495,0.016369047619047997
21.495,0.017857142857142994
21.495,0.016369047619047997
21.495,0.017113095238094996
21.495,0.016369047619047997
21.495,0.016369047619047997
21.495,0.017113095238094996
21.495,0.015625
21.495,0.015625
